,datetime,content,title
0,2023-01-20 14:33:06,韩国KOSPI指数1月20日（周五）收盘上涨14.92点，涨幅0.63%，报2395.26点。,
1,2023-01-20 14:32:51,蔚蓝锂芯1月20日在互动平台表示，公司LED业务为LED芯片制造销售，公司有MINILED相关产品。,
2,2023-01-20 14:31:04,【“春节档”黄金消费客流倍增 销售端称“一个月卖了三个月的量”】临近新春，黄金迎来消费旺季。记者近日走访澳门以及华南、华东地区部分一二三线城市金店发现，黄金售卖专柜前人气爆棚，客流量较平时成倍增长，购买者以年轻人居多。老凤祥证券部人士表示，疫情好转叠加黄金价格走高，今年春节销售预期较好。其中，受益于年轻人春节返乡等因素，三四线城市的销量明显增加。据记者访问的实体门店销售人员反馈，“临近过年，真的是很好卖。人一波一波的来”“一个月卖了三个月的量”。,
3,2023-01-20 14:28:06,【秦刚同印尼外长蕾特诺通电话】据外交部网站，2023年1月20日，外交部长秦刚同印度尼西亚外长蕾特诺通电话。秦刚说，印尼是东盟主要国家，也是“一带一路”重要合作伙伴。当前，中印尼双边关系面临新的发展机遇。中方鼓励更多优质中国企业赴印尼投资兴业，希望印尼提供更多安全保障和政策便利。秦刚表示，中方全力支持印尼东盟轮值主席国工作，相信印尼将展现领导力，推动东盟共同体建设和东亚合作取得更大发展。,
4,2023-01-20 14:26:52,【工业硅主力合约日内涨超4%】工业硅主力合约日内涨超4%，现报18610元/吨。,
5,2023-01-20 14:26:35,【高通CEO：全球半导体晶圆代工产能未来十年还需提高一倍】高通CEO Cristiano Amon日前接受CNBC采访时表示，随着数字化转型和万物互联深入，未来10年全球需要再增加一倍的晶圆代工产能。另外，Amon强调，高通目前正在汽车芯片等新兴市场高歌猛进，“我们几乎和所有的车厂有合作。”,
6,2023-01-20 14:24:04,"【1月20日：""农产品批发价格200指数""比昨天上升1.12个点】据农业农村部监测，1月20日""农产品批发价格200指数""为137.11，比昨天上升1.12个点，“菜篮子”产品批发价格指数为140.27，比昨天上升1.31个点。截至今日14:00时，全国农产品批发市场猪肉平均价格为23.25元/公斤，比昨天上升0.9%；牛肉78.11元/公斤，比昨天下降0.3%；羊肉68.93元/公斤，比昨天下降0.7%；鸡蛋11.25元/公斤，比昨天下降0.1%；白条鸡18.59元/公斤，比昨天下降3.7%。",
7,2023-01-20 14:23:20,【亚马逊将从2月起提高部分音乐订阅的价格】电子商务巨头亚马逊公司周四表示，将从2月起提高部分音乐订阅的价格。根据该公司的常见问题解答页面，Amazon Music的“无限个人计划”的价格将上涨1美元至每月10.99美元，而其“无限个人学生计划”的价格将从每月4.99美元上涨至5.99美元。该公司表示，更新后的定价从2月21日开始，客户将在该日期后开始在他们的账单上看到新价格。,
8,2023-01-20 14:21:20,据摩根大通预测，2023财年英国GDP将下降0.1%，而此前预计为下降0.3%。,
9,2023-01-20 14:20:36,澳大利亚S&P/ASX200指数1月20日（周五）收盘上涨16.90点，涨幅0.23%，报7452.20点。,
10,2023-01-20 14:19:18,【西班牙：正在研究与法国的水下管道连接 旨在输送绿色氢气】西班牙能源部长特雷莎・里贝拉 (Teresa Ribera) 表示，西班牙和法国已同意探索在两国之间水下铺设管道的可能性，该管道将输送绿色氢气。西班牙政府认为改善与法国的联系将有助于加强欧洲的能源安全并推动其实现气候目标。去年12月，西班牙表示，港口城市巴塞罗那和马赛之间巴尔马尔走廊预计将耗资约25亿欧元，每年可生产200万吨氢气。,
11,2023-01-20 14:15:33,【上期所沪镍期货主力合约大涨5%】上期所沪镍期货主力合约上涨5.04%，报218800.0元/吨。,
12,2023-01-20 14:15:07,【柴犬币在过去一周飙升26%】根据CoinGecko的数据，柴犬币（Shiba Inu）在过去一周大幅上涨，涨幅达26.4%，过去24个小时继续上涨了2.4%。柴犬币飙升的一个原因，可能是交易员在期待开发商于1月15日宣布即将推出的以太坊区块链Shibarium。其他狗类相关的加密货币也走高。根据CoinGecko的数据，狗狗币（Dogecoin）在过去一周上涨3.6%，过去14天上涨10.7%。比特币在过去一周上涨16%。,
13,2023-01-20 14:14:22,抵押贷款公司HYPO：预计2023年芬兰GDP将萎缩1%。,
14,2023-01-20 14:12:47,【美以讨论与沙特关系正常化】据联合早报消息，以色列总理内塔尼亚胡19日与来访的美国总统国家安全事务助理沙利文，讨论与沙特阿拉伯关系正常化的问题。报道称，沙利文是内塔尼亚胡自去年底就任总理以来，首位访问以色列的美国高级官员。据报道，内塔尼亚胡之前在2020年担任总理时，在美国斡旋下，以色列根据《亚伯拉罕协议》同阿联酋、巴林和摩洛哥建立了关系。内塔尼亚胡多次表示，希望看到沙特加入这个名单。以色列总理办公室发表声明说，内塔尼亚胡和沙利文讨论如何深化和扩大《亚伯拉罕协议》，重点是与沙特在外交上取得突破。两人也讨论了遏制伊朗核计划及伊朗在海湾地区的活动。,
15,2023-01-20 14:12:02,【西藏林芝派墨公路雪崩堆积区救援通道打通】记者20日从西藏林芝市“1・17”雪崩灾害前线应急救援指挥部获悉，截至19日18时，派墨公路多雄拉隧道出口（墨脱方向）雪崩堆积区救援通道已打通。（央视新闻）,
16,2023-01-20 14:10:28,据马来西亚独立检验机构AmSpec，马来西亚1月1-20日棕榈油出口量为566561吨，上月同期为921811吨，环比下降38.54%。,
17,2023-01-20 14:08:14,【美海岸警卫队在夏威夷附近监视俄船只】根据美国国防部当地时间19日透露的消息以及美媒报道，近期一艘俄罗斯侦察船在夏威夷附近公海航行。美媒报道称，美国海岸警卫队的飞机和警备舰在过去数周，一直在夏威夷附近对俄罗斯的一艘侦察船进行跟踪和监视。美国国防部以及海岸警卫队还发布了据称是俄方船只的视频。,
18,2023-01-20 14:08:02,【汉堡王中国董事会主席可汗：相信中国市场很快恢复，今年新开200家门店】 TFI集团的CEO和汉堡王中国董事会主席可汗表示，“我相信中国市场会很快恢复，今年会开出超过200家门店。”可汗称，今年给汉堡王中国CEO设定了一个比较高的目标，还给出了今年汉堡王中国的拓店目标，据称将开设超过200家新店。“我们认为我们还有机会创造出更多的就业（岗位）。”可汗表示。（澎湃）,
19,2023-01-20 14:06:27,【琼州海峡进岛车辆实施全预约购票过海】从湛江海事局获悉，从2023年1月19日14时起，所有进入海南岛的客货车辆实行全预约购票过海模式，所有需要搭乘客滚船的旅客凭票进港，旅客可在“琼州海峡轮渡管家”微信公众号等渠道预约购票。,
20,2023-01-20 14:05:17,【报道：将近3年来首批中国游客抵达清迈和普吉，受到“VIP接待”】 据泰国公共广播服务公司（Thai PBS）下属“Thai PBS World”新闻网19日报道，18日两架共载有377名中国游客的直达航班抵达泰国，其中一架航班降落在清迈，另外一架降落在普吉。报道称，这是将近3年来第一批中国游客抵达这两个地区，他们受到了泰国官方的“VIP接待”。（环球网）,
21,2023-01-20 14:05:10,【奈飞高管解读Q4财报：从高价套餐转到低价套餐的用户比预期少，低价广告套餐有望做大规模】奈飞（Netflix）新任联席CEO格雷格・彼得斯称：订阅带有广告套餐的用户参与同订阅免广告套餐的用户参与基本相当，说明产品体验比较理想。广告套餐定价不高，有利于做大规模和整体业务的增长。此外，对于投资者而言，从高价格套餐转换到低价格套餐的例子，没有预期的那么多。,
22,2023-01-20 14:03:43,据日本广播协会（NHK）报道，当地时间1月20日14时48分左右，日本宫城县近海海域发生4.9级地震，最大震感为3，震源深度50公里。（央视新闻）,
23,2023-01-20 14:02:19,日经225指数收涨0.6%，报26553.53点；日本东证指数涨0.6%，报1926.87点。,
24,2023-01-20 14:02:14,【春节假期，内地用户预订赴香港的旅游订单量同比增长近两倍】 携程数据显示，近两周平台上香港的旅游搜索热度环比上涨120%。近一周内地用户预订春节假期赴香港的旅游订单量同比增长近两倍，其中机票订单比上个月同期增长近10倍。（澎湃）,
25,2023-01-20 14:01:37,爱立信第四季度销售净额860亿瑞典克朗，市场预估847.8亿瑞典克朗。第四季度调整后EBIT 81亿瑞典克朗，市场预估107.4亿瑞典克朗。,
26,2023-01-20 13:59:56,【国药集团与郑州市政府会谈】近日，国药集团党委书记、董事长刘敬桢，副总经理（主持经营工作）胡建伟与郑州市何雄市长一行会谈。何雄表示，国药集团产业链齐全、规模优势明显，郑州市将做好服务，在医药会展、免税经济、医药物流、中药研发、食药同源、医药制造等方面与国药集团谋划合作。,
27,2023-01-20 13:59:41,【伊拉克经济陷入困境 每天80%或更多的美元电汇被阻】伊拉克货币走软导致食品和进口商品价格上涨，而伊拉克人正归咎于一个让人意想不到的罪魁祸首：美国财政部和纽约联邦储备银行的一项鲜为人知的政策变化。美国和伊拉克官员说，纽约联储在去年11月开始对伊拉克商业银行的国际美元交易实施更严格的控制，此举是为了遏制洗钱以及非法向伊朗和其他受到严重制裁的中东国家输送美元的行为。根据美国和伊拉克官员以及伊拉克政府的官方数据，自从这些程序生效以来，伊拉克每天80%或更多的美元电汇被阻止，原因是关于资金目的地的信息不足或其他错误。 (财联社),
28,2023-01-20 13:59:16,【泰媒：将近3年来首批中国游客抵达清迈和普吉，受到“VIP接待”】据泰国公共广播服务公司（Thai PBS）下属“Thai PBS World”新闻网19日报道，18日两架共载有377名中国游客的直达航班抵达泰国，其中一架航班降落在清迈，另外一架降落在普吉。报道称，这是将近3年来第一批中国游客抵达这两个地区，他们受到了泰国官方的“VIP接待”。（环球网）,
29,2023-01-20 13:58:10,【美团-W涨超5%】美团-W进一步走强，午后涨幅扩大至超5%报168.7港元/股。基金公司季报显示，睿远均衡价值三年持有混合基金增持了美团近16%。此外，交银瑞思基金也增持了美团超12%。另据港交所1月11日公布的文件显示，摩根大通1月5日增持约4047万股美团，平均增持价格为每股190.3392港元，持股比例上升至5.21%。,
30,2023-01-20 13:58:01,【蠡湖股份：公司涡壳主要客户有盖瑞特、上海菱重、博格华纳、成都西菱等】蠡湖股份在互动平台表示，公司涡壳的主要客户有盖瑞特、上海菱重、博格华纳、成都西菱、博世马勒、奕森-江苏、IHI石播等。,
31,2023-01-20 13:56:48,【厦门信达：目前未涉及免税店或免税商场业务】厦门信达在互动平台表示，公司目前未涉及免税店或免税商场业务。,
32,2023-01-20 13:56:38,【生物股份：公司尚未开展动物新冠疫苗研发】公司尚未开展动物新冠疫苗的研发。,
33,2023-01-20 13:56:19,【三大运营商飙升刺激中字头炒作热情，中国交建涨近5%】三大运营商飙升刺激中字头炒作热情，中国交建涨近5%，中铝国际、中国建筑、中国铁建成交量明显放大。,
34,2023-01-20 13:49:35,【古美两国就执法问题重启对话】当地时间19日，古巴和美国执法机构在古巴首都哈瓦那结束了为期两天的对话，双方就合作应对恐怖主义、偷运移民和移民欺诈等威胁两国安全的议题进行磋商。古方表示，双方代表团就加强执法合作达成共识，并将继续展开对话。（央视新闻）,
35,2023-01-20 13:47:48,【福龙马：公司城市服务机器人主要布局城市服务各分支需求业务】公司城市服务机器人主要布局城市服务各分支需求业务，以场景为导向、以软硬件中台技术为核心进行产品开发。依托集团环卫业务优势，首先以环卫服务机器人为切入点，布局城市服务的环卫清洁业务，开发无人作业和智能作业的清扫、清洗、垃圾收运等机器人产品；再根据园区场景的需求，打造室外、室内成体系的清洁服务机器人产品；同时还将结合城市服务的需求，打造满足城市服务各分支需求的智能机器人产品，形成城市服务机器人整体解决方案，实现支持城市居民生活的各方面需求。,
36,2023-01-20 13:46:20,【高新发展：30亿并购基金已有项目在挖掘储备中】公司可转债的募集资金将投资成都高新西区高端功率半导体器件和组件研发及产业化项目，进一步向功率半导体的核心工艺平台及特色封装线延伸。30亿并购基金目前已有项目在挖掘储备中。,
37,2023-01-20 13:45:51,【北向资金净流入超80亿元】按余额规模口径统计，截至目前北向资金净流入超80亿元，其中沪股通净流入41.14亿元，深股通净流入39.09亿元。,
38,2023-01-20 13:44:50,【去年重庆GDP为29129.03亿元，同比增2.6%】1月19日，重庆市统计局发布2022年重庆市经济运行情况。根据地区生产总值统一核算结果，全年全市实现地区生产总值29129.03亿元，比上年增长2.6%。其中，第一产业实现增加值2012.05亿元，增长4.0%；第二产业实现增加值11693.86亿元，增长3.3%；第三产业实现增加值15423.12亿元，增长1.9%。（澎湃）,
39,2023-01-20 13:44:31,【汽车整车股异动拉升 江淮汽车涨超6%】江淮汽车涨超6%，众泰汽车、安凯客车、亚星客车、长安汽车、长城汽车等跟涨。,
40,2023-01-20 13:44:01,【亚马逊部分音乐订阅计划2月起涨价，每月多收1美元】电子商务巨头亚马逊公司周四表示，将从2月21日起提高其部分音乐订阅计划的价格。根据该公司的常见问题页面，亚马逊音乐的“无限个人计划”价格将上涨1美元，达到每月 10.99美元，而其“无限个人学生计划”将从每月4.99美元上涨到5.99美元。,
41,2023-01-20 13:39:28,【高盛、美银称2023年欧股涨势或已基本结束】策略师们表示，欧洲股市今年延续了强劲的上涨势头，但进一步上涨的空间有限。据对19位策略师的调查显示，他们预计欧洲斯托克600指数在创下史上最好的年初表现后，2023年将收于452点。高盛股票策略师Sharon Bell表示，尽管他们上调了目标价，但他们仍预计回报率很低。她本月将预期从450点上调至465点。她表示，由于股市风险依然很高，且获利料将进一步走弱，债券和现金显然是替代选择。在美银策略师Milla Savova看来，欧股的反弹违背了欧美商业活动的萎缩，目前欧美商业活动都处于衰退水平。他认为，如果经济如美银预测的那样走弱，欧洲斯托克600指数将在年中下跌约20%，至365点。但她预计，经济增长的反弹将推动该指数在年底前反弹至430点。,
42,2023-01-20 13:38:39,A股房地产板块异动拉升，中国武夷涨超6%，华夏幸福、天房发展、深深房A、新城控股、粤泰股份等跟涨。,
43,2023-01-20 13:37:47,【蔚蓝锂芯：公司不涉及供销社合作事项】蔚蓝锂芯在互动平台表示，公司金属物流业务经营情况良好，不涉及供销社合作事项。,
44,2023-01-20 13:37:12,光伏权重股午后走高，阳光电源涨近6%，隆基绿能涨超5%，特变电工、通威股份、TCL中环小幅跟涨。,
45,2023-01-20 13:36:41,【美国打算将没收的部分俄资产转交乌克兰】据俄罗斯观点报消息，美国司法部负责调查和查封俄罗斯受限制资产的工作组组长安德鲁・亚当斯在哈得孙研究所举行的研讨会上说，华盛顿近期打算将没收的部分俄罗斯资产交给乌克兰。亚当斯强调，这是一个相对较新的事态进展。他提醒，去年12月底，美国总统拜登批准的2023年联邦预算法中包括一项条款，允许没收因制裁被冻结的俄罗斯商人的资产，以便随后交给乌克兰。根据安排，美国司法部将把这些资金交给国务院，再由后者“分配”给乌克兰。（参考消息）,
46,2023-01-20 13:36:09,新东方在线(01797.HK)涨超10%，报73.5港元每股，股价再创上市新高。,
47,2023-01-20 13:35:19,欧元兑日元涨0.60%，报139.94；英镑兑日元涨0.46%，报159.84；澳元兑日元上涨0.63%。,
48,2023-01-20 13:35:11,【银保监会同意中冶集团财务有限公司解散】银保监会网站发布关于中冶集团财务有限公司解散的批复，同意中冶集团财务有限公司解散。接此批复文件后，该公司应立即停止一切经营活动，将金融许可证缴回北京银保监局，并按照有关法律法规办理清算及注销等手续。,
49,2023-01-20 13:33:39,【派斯林：拟向关联方转让六合地产、经开物业，完成对房地产开发和物业管理业务的去化】公司正在筹划以现金方式向长春经开国资控股集团有限公司转让持有的全资子公司吉林省六合房地产开发有限公司、长春经开集团物业服务有限公司100%股权重大交易事项。六合地产主营房地产开发业务、经开物业主营物业管理业务，如本次交易顺利完成，公司将实现对房地产开发及物业管理业务的全面去化，集中资源发展智能制造产业，推动上市公司的可持续发展。经开国资为公司持股5%以上股东，本次交易预计将构成关联交易。,
50,2023-01-20 13:33:02,埃塞俄比亚总理任命Mamo Mihretu为央行新任行长。,
51,2023-01-20 13:32:52,1月20日，银保监会网站发布关于中国华融资产管理股份有限公司李子民任职资格的批复，核准李子民中国华融资产管理股份有限公司董事的任职资格。,
52,2023-01-20 13:25:16,【 银保监会：不予许可新华联控股集团财务有限责任公司破产重整】银保监会披露的《关于新华联控股集团财务有限责任公司破产重整的批复》显示，新华联控股有限公司不符合《企业集团财务公司管理办法》（中国银行保险监督管理委员会令2022年第6号）第五十一条规定，故不予许可新华联控股集团财务有限责任公司破产重整。,
53,2023-01-20 13:25:04,【隆基绿能盘中涨超5%】A股隆基绿能盘中大涨5.03%，现报46.98元。 公司公告，2022年净利同比预增60%到71%。,
54,2023-01-20 13:24:33,【安纳达：公司无钙钛矿产品】安纳达在互动平台表示，公司经营中不涉及钙钛矿业务，无钙钛矿产品。,
55,2023-01-20 13:24:01,【超图软件：公司信创订单在进一步扩大 预计未来几年将会有更多落单】超图软件近日在机构调研时表示，目前，行业信创趋势明确，且将呈加速推进的态势，2022年我们在交通、教育、能源等方面都有一些新订单。平台软件拓展性较强，各行各业都可以应用，越来越多的行业都将进行国产替代，能源、农业、电信、航天航空领域都有应用，呈现多点发力态势。我们在产品的适配、技术验证、信创生态建设做好了全面的建设，信创订单也在进一步扩大，预计未来几年在这方面将会有更多的落单。,
56,2023-01-20 13:23:13,据船运调查机构ITS数据显示，马来西亚1月1-20日棕榈油出口量为589308吨，上月同期为952592吨，环比下降38.14%。,
57,2023-01-20 13:22:46,【克明食品：子公司长沙克明面点主营生产和销售生胚包子】长沙克明面点有限公司主营生产和销售生胚包子，公司持有长沙克明面点有限公司75%股权，“包子醒醒”是长沙克明面点有限公司的自主品牌，负责对外推广线下连锁门店运营，目前处于经营模式试运行阶段。,
58,2023-01-20 13:22:39,【确成股份：拟发行可转债募资不超5.5亿元】拟公开发行可转债募资不超过5.5亿元，扣除发行费用后，用于确成泰国年产2.5万吨高分散性白炭黑项目、安徽阿喜生物质（稻壳）资源化综合利用项目、补充流动资金。,
59,2023-01-20 13:22:21,"【摩根资产管理完成收购上投摩根基金】1月20日，摩根资产管理宣布在扩展中国业务的道路上取得重要进展。摩根资产管理已经获得证监会批准，完成收购上投摩根基金管理有限公司，上投摩根基金将会以摩根资产管理的品牌（摩根资产管理中国）运营，以便将中国业务更好融入全球运营模式。摩根资产管理旗下的外商独资企业（Wholly Foreign-Owned Enterprise, WFOE）将整合融入摩根资产管理中国，上投摩根基金总经理王大智将成为摩根资产管理中国总经理，他将汇报给摩根资产管理亚太区首席执行官Dan Watkins。（中证网）",
